Date,ball1,ball2,ball3,ball4,ball5,ball6
12.01.03,35,47,54,68,71,78
12.01.05,10,11,12,24,56,71
12.01.07,7,15,60,72,77,90
12.01.10,14,22,27,28,34,66
12.01.12,20,49,53,63,73,84
12.01.14,4,12,15,37,53,83
12.01.17,9,27,32,51,53,71
12.01.19,24,41,44,56,73,90
12.01.21,12,19,33,38,62,80
12.01.24,27,32,55,68,72,75
12.01.26,13,16,22,30,52,87
12.01.28,2,17,25,50,52,84
12.01.31,16,23,28,33,43,86
12.02.02,25,37,43,50,58,60
12.02.04,1,17,30,43,67,82
12.02.07,27,30,69,75,81,83
12.02.09,43,51,54,71,73,85
12.02.11,23,30,46,64,70,86
12.02.14,12,25,41,79,86,88
12.02.16,5,21,23,41,74,84
12.02.18,8,21,39,56,74,81
12.02.21,28,29,30,39,75,87
12.02.23,20,28,56,62,63,76
12.02.25,14,30,64,75,79,89
12.02.28,25,34,43,57,67,77
12.03.01,6,14,19,26,51,53
12.03.03,16,19,31,46,69,74
12.03.06,31,42,49,51,68,79
12.03.08,23,37,47,79,80,83
12.03.10,1,8,40,54,69,81
12.03.13,15,17,53,67,75,81
12.03.15,1,13,14,34,67,83
12.03.17,12,23,54,68,84,89
12.03.20,21,39,44,49,65,87
12.03.22,6,21,37,55,84,88
12.03.24,39,45,49,66,75,80
12.03.27,9,26,27,40,51,69
12.03.29,11,45,50,54,57,62
12.03.31,11,23,38,47,57,83
12.04.03,11,34,55,63,87,89
12.04.05,10,37,44,56,60,89
12.04.07,37,46,54,55,65,87
12.04.10,9,22,41,49,52,53
12.04.12,15,25,34,54,70,88
12.04.14,5,22,24,36,85,86
12.04.17,6,28,39,46,60,78
12.04.19,12,26,27,47,63,77
12.04.21,9,11,33,69,73,82
12.04.24,24,28,54,68,78,81
12.04.26,19,61,62,65,85,89
12.04.28,6,11,34,51,59,82
12.05.02,9,22,61,67,84,85
12.05.03,8,16,25,28,57,68
12.05.05,13,14,19,57,77,79
12.05.08,13,19,35,38,52,64
12.05.10,6,16,30,53,60,71
12.05.12,10,45,58,66,83,85
12.05.15,5,38,56,76,77,89
12.05.17,14,38,41,58,65,75
12.05.19,1,23,27,33,37,85
12.05.22,1,6,31,45,58,85
12.05.24,10,29,32,43,56,90
12.05.26,3,33,51,55,73,84
12.05.29,38,39,42,49,55,81
12.05.31,12,25,66,72,75,89
12.06.04,8,16,20,23,47,56
12.06.05,15,29,38,44,67,74
12.06.07,32,58,63,70,75,81
12.06.09,31,34,52,54,78,82
